UF,PIB,Pop_est_2009,classe
SANTA CATARINA,29832.25390625,2767,2
CEARÁ,19908.97460938,4999,1
PARAÍBA,74695.015625,18784,1
PARANÁ,205852.890625,6853,3
ALAGOAS,72170.7265625,17740,1
RIO DE JANEIRO,381657.59375,39256,2
RIO GRANDE DO SUL,609619.625,30802,2
GOIÁS,59193.86328125,4795,2
GOIÁS,31021.49609375,3471,1
RIO GRANDE DO NORTE,352249.375,25394,2
TOCANTINS,56594.68359375,3784,2
RONDÔNIA,513631.90625,33984,2
SANTA CATARINA,102293.9765625,6188,2
RIO DE JANEIRO,196890.15625,11982,2
ALAGOAS,35231.92578125,13110,1
RIO GRANDE DO SUL,79701.8515625,3619,2
BAHIA,41433.265625,14172,1
BAHIA,43890.1875,14408,1
SÃO PAULO,1409889.375,112130,2
PIAUÍ,155153.0625,32215,1
RIO GRANDE DO NORTE,104648.15625,13034,1
RIO GRANDE DO SUL,95122.9375,7214,2
RIO DE JANEIRO,187612.1875,15406,2
GOIÁS,29560.24023438,2632,2
GOIÁS,30326.5546875,2738,2
SANTA CATARINA,57898.19921875,3584,2
MINAS GERAIS,110514.640625,13475,1
TOCANTINS,46077.2265625,5017,1
SÃO PAULO,31528.9453125,4490,1
SÃO PAULO,421630.78125,41602,2
BAHIA,53531.296875,15366,1
BAHIA,97669.578125,21990,1
PARANÁ,102002.0546875,9665,2
CEARÁ,58676.28125,19338,1
SÃO PAULO,88476.9921875,11157,1
MARANHÃO,137673.25,26125,1
ALAGOAS,32510.77148438,10539,1
TOCANTINS,560943.5625,19740,3
MINAS GERAIS,23739.77929688,5477,1
RIO GRANDE DO SUL,65779.6953125,4242,2
RIO GRANDE DO SUL,130462.4375,6693,2
SERGIPE,98134.265625,21882,1
MINAS GERAIS,20342.54492188,4020,1
RIO GRANDE DO NORTE,31882.97070312,7449,1
GOIÁS,175399.21875,4068,3
ESPIRITO SANTO,34397.96875,5011,1
PARÁ,2170090,96010,3
MATO GROSSO DO SUL,74384.765625,5320,2
GOIÁS,38083.13671875,5823,1
SERGIPE,665967.625,86564,1
BAHIA,47487.671875,14279,1
CEARÁ,82730.8359375,18411,1
RIO DE JANEIRO,4000292.25,469827,1
BAHIA,244964.375,49263,1
TOCANTINS,58334.25390625,7978,1
RIO GRANDE DO SUL,89798.734375,11617,1
RIO GRANDE DO SUL,227745.25,15885,2
PIAUÍ,56574.91015625,19831,1
SÃO PAULO,26659.51367188,2158,2
RIO GRANDE DO SUL,17316.42773438,2720,1
RIO GRANDE DO SUL,41633.12109375,4192,2
MARANHÃO,96742.3984375,19877,1
TOCANTINS,40679.22265625,7605,1
PIAUÍ,13968.11035156,4647,1
MINAS GERAIS,64863.109375,7597,1
MARANHÃO,65256.91796875,11481,1
