CODIGO DA ENTIDADE,NUMERO DE PARTICIPANTES,Classificacao
35902366,22,
35902861,53,2
35902925,79,2
35904673,73,1
35904697,28,1
35904958,116,2
35906426,94,2
35906438,108,2
35906463,87,1
35906542,66,2
35906669,74,1
35907182,74,1
35907194,101,1
35907637,141,2
35908373,95,2
35908551,126,2
35908587,123,1
35908745,103,2
35908757,72,2
35908836,87,1
35908861,138,1
35910193,30,1
35910200,32,1
35910223,86,1
35910259,90,1
35910582,62,1
35910764,63,2
35910818,187,4
35913807,59,1
35913832,177,1
35914794,21,1
35915749,140,1
35915750,37,1
35917011,28,1
35917515,76,2
35918659,80,2
35918805,91,2
35919056,68,2
35921051,33,1
35921105,22,1
35921130,129,1
35921385,69,2
35921543,130,1
35922924,19,1
35923254,170,1
35923333,51,1
35923369,53,2
35923448,154,2
35923461,68,1
35923473,100,2
35923795,17,1
35923886,61,1
35923904,74,2
35923941,58,1
35924039,23,1
35924398,44,1
35925603,81,2
35925639,98,2
35925834,64,1
35925871,134,2
35990012,122,3
